textual_id,longitude,latitude,content
adm_144028,NULL,NULL,Glauchau
adm_144025,NULL,NULL,Freiberg
adm_144048,NULL,NULL,Rochlitz
adm_144013,NULL,NULL,Auerbach
adm_144042,NULL,NULL,Ölsnitz
adm_144042,NULL,NULL,Oelsnitz
adm_144045,NULL,NULL,Plauen
adm_144018,NULL,NULL,Chemnitz
adm_144058,NULL,NULL,Zwickau
adm_144292,NULL,NULL,Kamenz
adm_144056,NULL,NULL,Zittau
adm_144272,NULL,NULL,Bautzen
adm_144029,NULL,NULL,Löbau
adm_144043,NULL,NULL,Oschatz
adm_144052,NULL,NULL,Torgau
adm_144374,NULL,NULL,Delitzsch
adm_144021,NULL,NULL,Döbeln
adm_144030,NULL,NULL,Grimma
adm_144262,NULL,NULL,Dresden
object_257978,NULL,NULL,Meißen
adm_144044,NULL,NULL,Pirna
object_289756,NULL,NULL,Dresden-Altstadt
object_289757,NULL,NULL,Dresden-Neustadt
object_257976,NULL,NULL,Kamenz
object_257976,NULL,NULL,"Wokrjes Kamjenc"
adm_169765,NULL,NULL,Görlitz
adm_144031,NULL,NULL,Großenhain
